,country,date,confirmed,death,recovered,last_confirmed,last_death,last_recovered
2681,Chile,2/6/20,0,0,0,0,0,0
2682,Chile,2/7/20,0,0,0,0,0,0
2683,Chile,2/8/20,0,0,0,0,0,0
2684,Chile,2/9/20,0,0,0,0,0,0
2685,Chile,2/10/20,0,0,0,0,0,0
2686,Chile,2/11/20,0,0,0,0,0,0
2687,Chile,2/12/20,0,0,0,0,0,0
2688,Chile,2/13/20,0,0,0,0,0,0
2689,Chile,2/14/20,0,0,0,0,0,0
2690,Chile,2/15/20,0,0,0,0,0,0
2691,Chile,2/16/20,0,0,0,0,0,0
2692,Chile,2/17/20,0,0,0,0,0,0
2693,Chile,2/18/20,0,0,0,0,0,0
2694,Chile,2/19/20,0,0,0,0,0,0
2695,Chile,2/20/20,0,0,0,0,0,0
2696,Chile,2/21/20,0,0,0,0,0,0
2697,Chile,2/22/20,0,0,0,0,0,0
2698,Chile,2/23/20,0,0,0,0,0,0
2699,Chile,2/24/20,0,0,0,0,0,0
2700,Chile,2/25/20,0,0,0,0,0,0
2701,Chile,2/26/20,0,0,0,0,0,0
2702,Chile,2/27/20,0,0,0,0,0,0
2703,Chile,2/28/20,0,0,0,0,0,0
2704,Chile,2/29/20,0,0,0,0,0,0
2705,Chile,3/1/20,0,0,0,0,0,0
2706,Chile,3/2/20,0,0,0,0,0,0
2707,Chile,3/3/20,1,0,0,0,0,0
2708,Chile,3/4/20,1,0,0,1,0,0
2709,Chile,3/5/20,4,0,0,1,0,0
2710,Chile,3/6/20,4,0,0,4,0,0
2711,Chile,3/7/20,4,0,0,4,0,0
2712,Chile,3/8/20,8,0,0,4,0,0
2713,Chile,3/9/20,8,0,0,8,0,0
2714,Chile,3/10/20,13,0,0,8,0,0
2715,Chile,3/11/20,23,0,0,13,0,0
2716,Chile,3/12/20,23,0,0,23,0,0
2717,Chile,3/13/20,43,0,0,23,0,0
2718,Chile,3/14/20,61,0,0,43,0,0
2719,Chile,3/15/20,74,0,0,61,0,0
2720,Chile,3/16/20,155,0,0,74,0,0
2721,Chile,3/17/20,201,0,0,155,0,0
2722,Chile,3/18/20,238,0,0,201,0,0
2723,Chile,3/19/20,238,0,0,238,0,0
2724,Chile,3/20/20,434,0,6,238,0,0
2725,Chile,3/21/20,537,0,6,434,0,6
2726,Chile,3/22/20,632,1,8,537,0,6
2727,Chile,3/23/20,746,2,8,632,1,8
2728,Chile,3/24/20,922,2,17,746,2,8
2729,Chile,3/25/20,1142,3,22,922,2,17
2730,Chile,3/26/20,1306,4,22,1142,3,22
2731,Chile,3/27/20,1610,5,43,1306,4,22
2732,Chile,3/28/20,1909,6,61,1610,5,43
2733,Chile,3/29/20,2139,7,75,1909,6,61
2734,Chile,3/30/20,2449,8,156,2139,7,75
2735,Chile,3/31/20,2738,12,156,2449,8,156
2736,Chile,4/1/20,3031,16,234,2738,12,156
2737,Chile,4/2/20,3404,18,335,3031,16,234
2738,Chile,4/3/20,3737,22,427,3404,18,335
2739,Chile,4/4/20,4161,27,528,3737,22,427
2740,Chile,4/5/20,4471,34,618,4161,27,528
2741,Chile,4/6/20,4815,37,728,4471,34,618
2742,Chile,4/7/20,5116,43,898,4815,37,728
2743,Chile,4/8/20,5546,48,1115,5116,43,898
2744,Chile,4/9/20,5972,57,1274,5546,48,1115
2745,Chile,4/10/20,6501,65,1571,5972,57,1274
2746,Chile,4/11/20,6927,73,1864,6501,65,1571
2747,Chile,4/12/20,7213,80,2059,6927,73,1864
2748,Chile,4/13/20,7525,82,2367,7213,80,2059
2749,Chile,4/14/20,7917,92,2646,7525,82,2367
2750,Chile,4/15/20,8273,94,2937,7917,92,2646
2751,Chile,4/16/20,8807,105,3299,8273,94,2937
2752,China,1/22/20,1,0,0,1,0,0
2753,China,1/23/20,9,0,0,1,0,0
2754,China,1/24/20,15,0,0,9,0,0
2755,China,1/25/20,39,0,0,15,0,0
2756,China,1/26/20,60,0,0,39,0,0
2757,China,1/27/20,70,0,0,60,0,0
2758,China,1/28/20,106,0,0,70,0,0
